white_alone 19.465860518869142
black_or_african_american_alone 14.901260622618462
some_other_race_alone 13.456794302125894
asian_alone 11.273545445313385
bike_score 8.704592624806423
two_or_more_races 4.922695142436247
pop_per_km2 4.364398973736206
teethlost 3.017757579417321
lpa 2.6336067292369516
chd 2.2273557958828074
sleep 2.188965036868105
casthma 1.9109798641705071
hispanic_or_latino 1.714578921514284
households 1.6699994006560348
living_wage 1.4533300896559063
checkup 1.4041940377981423
dental 1.3747924373103897
violent_crime 1.35884632618359
cumulative_deceased 1.1127698555873773
binge 0.9823886439797538
unemployment_rate 0.9783895328021858
bpmed 0.9364765590065693
cancer 0.7632268109332789
native_hawaiian_and_other_pacific_islander_alone 0.5851184866078284
mammouse 0.406553538721384
bphigh 0.34856035298216914
corew 0.27769968773477327
mean_income 0.18952954925024473
phlth 0.18538205290614343
highchol 0.18294101786491934
american_indian_and_alaska_native_alone 0.1416691238969818
walk_commute 0.1002823658488717
mhlth 0.02305685739359526
median_age 0.0
depression 0.0
ghlth -0.0
mean_household_income 0.0
property_crime -0.03694185273910824
male -0.06791683399249483
pop_estimate_2021 -0.0879696149332344
cholscreen -0.12500503718193623
corem -0.23181249683075228
median_aqi -0.24453384419339996
poverty -0.28268039086006347
arthritis -0.29982281501471536
cervical -0.3895952301150125
work_from_home -0.4365217709058003
female -0.4463202341091831
public_transit_commute -0.4622056122995126
cumulative_confirmed -0.5374765426022112
land_area_sqkm -0.56844386836059
kidney -0.6009138859479044
access2 -0.9904947982114707
drive_commute -1.0255534947061673
diabetes -1.1790594247179682
obesity -1.1871924855955545
stroke -1.2776817097482545
median_household_income -1.3239022969262988
colon_screen -1.5638325777537008
bike_commute -1.7554747371127237
csmoking -2.9078117437433706
copd -3.656823805889542
